"Id";"Designador";"Pacote";"Quantidade";"Designação";"Fornecedor e referência";
1;"J3";"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal";1;"Terminal_Alarme";;;
2;"RV2,RV1";"Potentiometer_Bourns_3386F_Vertical";2;"0-200K";;;
3;"RL2,RL1";"Relay_DPDT_Omron_G2RL";2;"ML2RC2";;;
4;"R9,R7";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"2K2";;;
5;"R8";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";1;"3K9";;;
6;"R4,R3";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"100 K";;;
7;"R2,R1";"R_Axial_DIN0204_L3.6mm_D1.6mm_P7.62mm_Horizontal";2;"20 K";;;
8;"Q2,Q1";"TO-92_Inline";2;"2N3906";;;
9;"J2";"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal";1;"Terminal_Cerca";;;
10;"J1";"PhoenixContact_MC_1,5_2-G-5.08_1x02_P5.08mm_Horizontal";1;"Terminal_Fonte";;;
11;"D2,D1";"D_DO-41_SOD81_P10.16mm_Horizontal";2;"1N4007";;;
